car,track,variant,n,draw_us,present_us,p95_us,max_us,road_us,player_us,opponents_us,upscale_us,hud_us
0,0,0,24,134233,31545,186891,189738,17337,36362,50727,19225,3854
0,0,1,24,129278,31467,181495,203991,17319,36455,50589,14301,3884
0,0,2,24,133201,31508,185510,187551,17313,36049,50061,19188,3864
0,0,3,24,126000,31508,180638,182496,16451,36138,50099,14325,3345
0,1,0,24,134633,31565,189284,202101,16635,36873,51764,19178,3732
0,1,1,24,129876,31471,180159,185890,16614,36876,51840,14297,3783
0,1,2,24,134008,31521,187713,195240,16620,36592,51362,19204,3758
0,1,3,24,129565,31535,182822,189215,16911,36595,51174,14307,3746
1,0,0,24,141249,31490,194339,216582,17323,36830,57314,19186,3873
1,0,1,24,135545,31465,190927,191379,17027,36859,57283,14320,3696
1,0,2,24,139523,31520,193892,195522,17024,36547,56699,19181,3687
1,0,3,24,135645,31494,190807,195253,17331,36580,56801,14316,3866
1,1,0,24,141835,31511,193640,225632,16315,37400,58793,19225,3595
1,1,1,24,135527,31508,189288,194301,16050,37259,58662,14316,3501
1,1,2,24,141748,31480,197120,200935,16906,37035,58020,19198,3754
1,1,3,24,138872,31520,192253,206014,17771,37039,58033,14311,3765
2,0,0,24,137576,31480,191474,193250,17042,36221,55319,19188,3449
2,0,1,24,133410,31473,189123,194133,17338,36245,55319,14309,3450
2,0,2,24,137443,31517,192373,206767,17331,35849,54863,19182,3501
2,0,3,24,131914,31481,187088,187486,17031,35875,54839,14320,3484
2,1,0,24,138702,31499,192819,196550,16631,36574,56365,19176,3499
2,1,1,24,134679,31508,183720,188260,16904,36556,56435,14310,3669
2,1,2,24,138217,31493,193534,194538,16630,36357,56148,19210,3402
2,1,3,24,133133,31491,182480,186938,16614,36220,55985,14321,3551
3,0,0,24,139867,31520,193991,211731,17315,42986,50185,19186,3431
3,0,1,24,134611,31468,189659,190705,17036,43016,50421,14299,3443
3,0,2,24,138627,31505,194633,195656,17023,42773,49838,19210,3432
3,0,3,24,134321,31490,188687,189893,17352,42708,49677,14320,3500
3,1,0,24,141771,31504,191119,197224,17193,43577,51483,19177,3499
3,1,1,24,136149,31492,200084,201158,16616,43706,51709,14332,3701
3,1,2,24,141381,31493,197036,209080,16642,43443,51188,19240,3656
3,1,3,24,135218,31484,191432,200684,16663,43259,51104,14300,3443
4,0,0,24,140315,31480,194902,205076,17029,37336,55613,19193,4039
4,0,1,24,134384,31486,189433,190344,17032,37327,55644,14295,3712
4,0,2,24,138730,31507,191399,195124,17332,36984,55194,19179,3681
4,0,3,24,133973,31536,189369,193707,17340,37049,55215,14327,3688
4,1,0,24,140896,31493,191375,197617,16331,38014,57136,19209,3737
4,1,1,24,135378,31466,190354,191669,16620,37820,57117,14295,3405
4,1,2,24,140923,31490,196012,200951,17784,37528,56706,19174,3628
4,1,3,24,137180,31483,189169,191357,16323,37511,56661,14325,4464
5,0,0,24,141457,31490,193800,203858,17323,36800,58112,19192,3687
5,0,1,24,136797,31469,189095,204836,17028,36769,58088,14324,3864
5,0,2,24,140614,31487,193134,195806,17043,36510,57816,19188,3679
5,0,3,24,136361,31531,188757,190594,17340,36638,58014,14304,3691
5,1,0,24,143125,31508,194096,223412,16320,37443,59556,19181,3743
5,1,1,24,136294,31504,189000,192581,16044,37271,59424,14330,3493
5,1,2,24,141557,31493,192232,195707,16906,37010,58933,19199,3404
5,1,3,24,140334,31500,190620,206615,17805,37017,58990,14305,3925
6,0,0,24,143695,31508,196520,199996,17326,43579,53798,19189,3429
6,0,1,24,139440,31503,197073,198898,17344,43579,53810,14322,3617
6,0,2,24,143738,31475,199288,208963,17030,43572,53582,19206,3604
6,0,3,24,138372,31486,191197,193949,17023,43532,53592,14376,3457
6,1,0,24,144813,31482,194942,201322,16036,44131,55234,19198,3741
6,1,1,24,139515,31523,189932,196129,16656,44195,55204,14300,3421
6,1,2,24,146445,31510,200116,220726,18065,43970,54980,19192,3744
6,1,3,24,141771,31513,195627,201013,16338,43952,54802,14320,4429
7,0,0,24,138327,31500,193844,206473,17612,39963,50836,19207,3615
7,0,1,24,132123,31491,185907,187762,17061,39884,50834,14333,3650
7,0,2,24,135848,31490,189642,192857,17049,39601,50252,19180,3400
7,0,3,24,131228,31496,184629,187378,17035,39646,50432,14305,3436
7,1,0,24,138013,31515,187586,193720,16629,40305,51936,19199,3501
7,1,1,24,133360,31482,191324,198145,16619,40424,51978,14313,3556
7,1,2,24,140656,31523,192561,201060,17778,40118,51684,19238,3509
7,1,3,24,131205,31481,181414,188577,16076,40062,51456,14352,3537
