car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
0,0,1,0,117807,31446,12762,68,20232,31728,44328,149253
0,0,1,1,117926,31444,12835,68,20225,31752,44227,149370
0,0,2,0,119540,31506,15776,118,20221,31509,43121,151046
0,0,2,1,119353,31474,15777,118,20224,31428,43219,150827
0,0,3,0,97926,31977,14264,95,20239,31276,23247,129903
0,0,3,1,97935,31425,14232,95,20437,30937,23246,129360
0,0,4,0,121945,31486,12719,46,20229,34423,45670,153431
0,0,4,1,121776,31472,12678,46,20233,34393,45650,153248
0,0,5,0,160726,31481,32424,312,20301,32104,45525,192207
0,0,5,1,130870,31488,25207,312,20251,31922,44556,162358
0,0,6,0,122393,31457,15810,138,20238,31857,44935,153850
0,0,6,1,121584,31471,15796,138,20219,31848,44930,153055
0,0,7,0,100691,31483,13210,68,20235,34449,23855,132174
0,0,7,1,100946,31457,13269,68,20229,34553,23792,132403
0,0,8,0,132943,31456,14590,111,20221,37370,51826,164399
0,0,8,1,133024,31484,14577,111,20229,37407,52040,164508
0,0,9,0,127846,31463,14200,95,20216,35354,49172,159309
0,0,9,1,128595,31454,14582,95,20238,35436,49296,160049
0,0,10,0,130412,31503,12231,42,20202,37533,51481,161915
0,0,10,1,130239,31461,12215,42,20216,37534,51403,161700
0,0,11,0,116268,31473,24078,370,20239,38167,24706,147741
0,0,11,1,146069,31437,31239,370,20275,38148,25599,177506
0,0,12,0,126464,31478,17149,194,20243,33548,46552,157942
0,0,12,1,126258,31481,17133,194,20250,33497,46595,157739
0,1,1,0,134193,31477,18362,196,20239,36954,49777,165670
0,1,1,1,135357,31489,18482,196,20238,37079,50250,166846
0,1,2,0,113292,31478,19051,123,20243,27531,37470,144770
0,1,2,1,113109,31475,19017,123,20259,27497,37430,144584
0,1,3,0,102691,31450,13692,61,20213,35129,24570,134141
0,1,3,1,102589,31461,13681,61,20441,35296,23956,134050
0,1,4,0,133681,31489,12640,62,20237,38562,53162,165170
0,1,4,1,133459,31479,12618,62,20243,38542,53139,164938
0,1,5,0,166301,31514,26685,244,20262,37315,51365,197815
0,1,5,1,136051,31480,19612,244,20224,37130,50020,167531
0,1,6,0,114142,31470,19132,123,20256,27515,38127,145612
0,1,6,1,113256,31471,19135,123,20254,27489,37447,144727
0,1,7,0,101735,31454,13447,61,20229,35134,23939,133189
0,1,7,1,101969,31485,13435,61,20246,35180,23937,133454
0,1,8,0,133595,31468,12571,62,20233,38581,53118,165063
0,1,8,1,133468,31482,12574,62,20235,38535,53106,164950
0,1,9,0,134748,31493,18507,196,20236,37058,49973,166241
0,1,9,1,135450,31474,18542,196,20260,37088,49930,166924
0,1,10,0,113434,31467,19086,123,20248,27585,37410,144901
0,1,10,1,113165,31493,19017,123,20254,27538,37438,144658
0,1,11,0,103907,31469,14626,93,20251,35934,23969,135376
0,1,11,1,133280,31488,21739,93,20277,35443,25250,164768
0,1,12,0,141442,31459,14641,110,20261,41586,55806,172901
0,1,12,1,141226,31492,14632,110,20259,41538,55835,172718
0,2,1,0,134265,31483,15708,83,20243,37223,52424,165748
0,2,1,1,131605,31461,12219,83,20876,37455,52450,163066
0,2,2,0,150642,31466,27488,330,20251,38682,55394,182108
0,2,2,1,146681,31488,23788,330,20241,38664,55365,178169
0,2,3,0,107549,31421,19078,129,20239,35410,24058,138970
0,2,3,1,102871,31454,15116,129,20223,34758,24011,134325
0,2,4,0,142623,31484,14375,139,20232,40775,58512,174107
0,2,4,1,139515,31468,11380,139,20234,40739,58514,170983
0,2,5,0,148840,31460,15996,64,20212,34532,47801,180300
0,2,5,1,123472,31501,11226,64,20222,35433,47902,154973
0,2,6,0,136675,31470,31040,541,20733,31275,44963,168145
0,2,6,1,134007,31472,29205,541,20229,31049,44899,165479
0,2,7,0,104721,31453,21932,217,20242,30605,23151,136174
0,2,7,1,100516,31442,17687,217,20256,30603,23114,131958
0,2,8,0,120677,31477,14037,89,20238,32516,45197,152154
0,2,8,1,117094,31458,10792,89,20229,32456,45019,148552
0,2,9,0,111507,31457,16036,108,20208,28038,38687,142964
0,2,9,1,108190,31498,12687,108,20214,28036,38581,139688
0,2,10,0,121282,31473,16387,108,20215,31664,44236,152755
0,2,10,1,118822,31480,12741,108,20238,32758,44522,150302
0,2,11,0,122522,31414,34859,540,20267,34188,24321,153936
0,2,11,1,143248,31441,34847,540,20271,33913,23825,174689
0,2,12,0,130027,31486,17644,127,20244,34933,48463,161513
0,2,12,1,126029,31465,13832,127,20247,34876,48479,157494
1,0,1,0,124059,31434,12771,68,20223,32131,50100,155493
1,0,1,1,125011,31437,12782,68,20222,32357,50765,156448
1,0,2,0,125358,31506,15797,118,20219,31929,48547,156864
1,0,2,1,126437,31427,15743,118,20227,31901,49654,157864
1,0,3,0,121171,31443,15315,95,20206,31214,24156,152614
1,0,3,1,99280,31454,14244,95,20238,31303,24442,130734
1,0,4,0,128256,31475,12712,46,20213,34847,51563,159731
1,0,4,1,128046,31472,12682,46,20226,34817,51502,159518
1,0,5,0,138476,31483,26367,312,20248,32302,50686,169959
1,0,5,1,137126,31482,25260,312,20247,32408,50303,168608
1,0,6,0,128859,31486,15818,138,20241,32261,51008,160345
1,0,6,1,128001,31507,15824,138,20234,32274,50899,159508
1,0,7,0,102207,31451,13198,68,20227,34991,24860,133658
1,0,7,1,102396,31459,13263,68,20209,35043,24876,133855
1,0,8,0,141922,31716,14563,111,20231,39048,59125,173638
1,0,8,1,140416,31455,14551,111,20212,37831,58953,171871
1,0,9,0,135056,31501,14231,95,20237,35799,55866,166557
1,0,9,1,157862,31489,15296,95,20231,35794,55890,189351
1,0,10,0,137956,31479,12255,42,20218,38014,58486,169435
1,0,10,1,137815,31678,12246,42,20220,37943,58534,169493
1,0,11,0,117075,31446,24103,370,20230,38377,25292,148521
1,0,11,1,118348,31458,25185,370,20240,38381,25367,149806
1,0,12,0,133015,31490,17132,194,20250,33870,52842,164505
1,0,12,1,132906,31475,17145,194,20233,33893,52838,164381
1,1,1,0,141444,31469,18377,196,20223,37364,56446,172913
1,1,1,1,164243,31483,19440,196,20223,37401,56450,195726
1,1,2,0,118443,31482,19052,123,20231,28034,42088,149925
1,1,2,1,118205,31699,19020,123,20232,27982,42083,149904
1,1,3,0,105103,31449,15274,61,20228,35580,24952,136552
1,1,3,1,103650,31446,13701,61,20235,35637,24910,135096
1,1,4,0,141476,31476,12636,62,20225,38923,60489,172952
1,1,4,1,141216,31502,12607,62,20210,38883,60557,172718
1,1,5,0,143048,31482,19626,244,20237,37574,56684,174530
1,1,5,1,144328,31475,19580,244,20224,37642,57770,175803
1,1,6,0,119112,31505,19695,123,20235,27953,42091,150617
1,1,6,1,140973,31479,20238,123,20252,27985,42092,172452
1,1,7,0,103272,31442,13412,61,20226,35630,24907,134714
1,1,7,1,103424,31455,13407,61,20230,35678,24891,134879
1,1,8,0,141754,31472,12573,62,20445,39003,60555,173226
1,1,8,1,141744,31487,12587,62,20240,39348,60644,173231
1,1,9,0,141764,31526,18500,196,20215,37525,56555,173290
1,1,9,1,143297,31461,19637,196,20225,37479,56633,174758
1,1,10,0,118508,31440,19085,123,20243,28041,42059,149948
1,1,10,1,119922,31476,19062,123,20293,28216,43423,151398
1,1,11,0,104410,31462,14620,93,20241,35625,24941,135872
1,1,11,1,105159,31454,14630,93,20231,36118,25043,136613
1,1,12,0,172343,31442,15753,110,20273,41960,63555,203785
1,1,12,1,149489,31485,14645,110,20252,41965,63571,180974
1,2,1,0,143094,31463,16869,83,20215,37565,59770,174557
1,2,1,1,138372,31469,12220,83,20245,37581,59708,169841
1,2,2,0,157363,31470,26440,330,20290,39076,62831,188833
1,2,2,1,156330,31474,23799,330,20302,39339,64218,187804
1,2,3,0,108335,31465,19087,129,20236,35192,25054,139800
1,2,3,1,105174,31474,15093,129,20729,35444,25117,136648
1,2,4,0,175637,31445,15368,139,20220,40969,68536,207082
1,2,4,1,149703,31499,11384,139,20238,40999,68477,181202
1,2,5,0,133433,31434,14901,64,20236,35271,54374,164867
1,2,5,1,129352,31480,11254,64,20229,34766,54171,160832
1,2,6,0,142230,31462,31046,541,20255,31523,50760,173692
1,2,6,1,141529,31469,30325,541,20239,31487,50804,172998
1,2,7,0,106730,31452,20802,217,20240,32362,24531,138182
1,2,7,1,101980,31465,17660,217,20262,31070,24150,133445
1,2,8,0,127621,31470,14002,89,20228,32992,51668,159091
1,2,8,1,123753,31458,10798,89,20226,32963,51126,155211
1,2,9,0,139759,31492,17086,108,20207,28468,43760,171251
1,2,9,1,113760,31492,12688,108,20241,28469,43653,145252
1,2,10,0,127945,31495,16382,108,20238,32033,50599,159440
1,2,10,1,123976,31458,12774,108,20231,32076,50347,155434
1,2,11,0,123082,31446,34837,540,20266,34333,24862,154528
1,2,11,1,121832,31444,33525,540,20263,34354,24856,153276
1,2,12,0,137926,31484,18819,127,20209,35171,54912,169410
1,2,12,1,132770,31705,13816,127,20241,35164,54908,164475
2,0,1,0,121849,31492,12762,68,20228,31539,48538,153341
2,0,1,1,121939,31485,12784,68,20230,31572,48512,153424
2,0,2,0,146525,31456,16848,118,20200,31212,47427,177981
2,0,2,1,123467,31498,15774,118,20220,31209,47369,154965
2,0,3,0,100905,31419,14248,95,20222,30625,26805,132324
2,0,3,1,101107,31459,14276,95,20212,30665,26899,132566
2,0,4,0,126444,31463,12681,46,20224,34401,50121,157907
2,0,4,1,127429,31481,13792,46,20211,34428,50128,158910
2,0,5,0,136577,31460,25177,312,20764,31952,49820,168037
2,0,5,1,135184,31476,25447,312,20238,31717,48788,166660
2,0,6,0,125949,31477,15856,138,20235,31785,49148,157426
2,0,6,1,125743,31466,15810,138,20246,31749,49113,157209
2,0,7,0,127350,31460,14320,68,20222,34743,27782,158810
2,0,7,1,104759,31455,13267,68,20208,34477,27776,136214
2,0,8,0,137971,31452,14594,111,20211,37383,56780,169423
2,0,8,1,137291,31465,14535,111,20233,37349,56348,168756
2,0,9,0,132197,31479,14147,95,20236,35365,53575,163676
2,0,9,1,132475,31437,14206,95,20227,35424,53594,163912
2,0,10,0,136497,31463,13343,42,20245,37781,56098,167960
2,0,10,1,136655,31437,12270,42,20239,37526,57648,168092
2,0,11,0,119256,31468,24088,370,20270,37842,28133,150724
2,0,11,1,119422,31452,24114,370,20241,37890,28092,150874
2,0,12,0,130560,31479,17151,194,20253,33325,50857,162039
2,0,12,1,130664,31522,17149,194,20241,33304,51094,162186
2,1,1,0,138607,31461,18366,196,20220,36768,54316,170068
2,1,1,1,138568,31469,18353,196,20240,36768,54313,170037
2,1,2,0,118516,31478,20163,123,20440,27250,41430,149994
2,1,2,1,116760,32020,19033,123,20238,27102,41455,148780
2,1,3,0,105821,31466,13701,61,20226,35011,27835,137287
2,1,3,1,107421,31461,13696,61,20263,35218,29003,138882
2,1,4,0,138312,31508,12639,62,20220,38581,57767,169820
2,1,4,1,138135,31695,12622,62,20229,38547,57790,169830
2,1,5,0,163217,31496,20678,244,20232,36906,54511,194713
2,1,5,1,140409,31475,19588,244,20213,37008,54462,171884
2,1,6,0,117022,31474,19158,123,20220,27164,41449,148496
2,1,6,1,116926,31473,19146,123,20250,27150,41466,148399
2,1,7,0,106825,31452,14534,61,20206,35042,27775,138277
2,1,7,1,105747,31446,13433,61,20237,35067,27779,137193
2,1,8,0,139072,31493,12604,62,20756,38786,57772,170565
2,1,8,1,139557,31478,12581,62,20268,38781,58865,171035
2,1,9,0,138992,31490,18520,196,20223,36934,54421,170482
2,1,9,1,139209,31499,18508,196,20233,36870,54513,170708
2,1,10,0,117065,31472,19088,123,20227,27173,41461,148537
2,1,10,1,117506,31481,19079,123,20237,27700,41604,148987
2,1,11,0,106878,31483,14625,93,20240,35054,27821,138361
2,1,11,1,129398,31481,15652,93,20234,35028,27909,160879
2,1,12,0,145708,31524,14699,110,20264,40972,60748,177232
2,1,12,1,145949,31473,14630,110,20484,41095,60731,177422
2,2,1,0,138962,31492,15743,83,20216,37294,57101,170454
2,2,1,1,135380,31453,12208,83,20231,37254,57092,166833
2,2,2,0,154599,31494,26667,330,20267,38836,60119,186093
2,2,2,1,152226,31498,23806,330,20257,39373,60208,183724
2,2,3,0,110722,31458,19057,129,20244,34633,27953,142180
2,2,3,1,129330,31455,16148,129,20227,34631,27962,160785
2,2,4,0,149061,31513,14356,139,20222,41093,64823,180574
2,2,4,1,146385,31456,11369,139,20240,41122,65066,177841
2,2,5,0,131449,31454,14891,64,20197,35252,52401,162903
2,2,5,1,128294,31479,12341,64,20210,34705,52289,159773
2,2,6,0,140062,31470,31071,541,20248,30965,49151,171532
2,2,6,1,138127,31505,29213,541,20252,30953,49152,169632
2,2,7,0,107350,31698,20789,217,20254,30395,26885,139048
2,2,7,1,104227,31438,17723,217,20245,30368,26880,135665
2,2,8,0,124540,31476,14053,89,20221,32356,49240,156016
2,2,8,1,143838,31477,11895,89,20222,32329,49270,175315
2,2,9,0,115276,31478,16016,108,20225,27555,42911,146754
2,2,9,1,111702,31472,12676,108,20236,27564,42552,143174
2,2,10,0,125286,31483,16350,108,20218,31444,48534,156769
2,2,10,1,122884,31471,13929,108,20236,31440,48553,154355
2,2,11,0,125333,31441,34843,540,20250,33749,27738,156774
2,2,11,1,125548,31462,33524,540,20270,34032,28778,157010
2,2,12,0,134421,31690,17688,127,20226,34639,53052,166111
2,2,12,1,130402,31508,13841,127,20241,34646,53023,161910
3,0,1,0,123868,31465,12854,68,20231,37747,44185,155333
3,0,1,1,146050,31499,13864,68,20224,37751,44026,177549
3,0,2,0,125204,31475,15788,118,20207,37415,42899,156679
3,0,2,1,126363,31503,16947,118,20219,37374,42933,157866
3,0,3,0,102626,31455,14256,95,20223,36718,22505,134081
3,0,3,1,104131,31458,14262,95,20228,37937,22669,135589
3,0,4,0,128042,31466,12706,46,20222,40650,45534,159508
3,0,4,1,128151,31501,12717,46,20234,40627,45509,159652
3,0,5,0,136419,31477,25172,312,20232,37895,44229,167896
3,0,5,1,137334,31433,25238,312,20236,38574,44325,168767
3,0,6,0,127133,31473,15821,138,20243,37831,44291,158606
3,0,6,1,149522,31505,16897,138,20232,37798,44284,181027
3,0,7,0,107225,31415,13233,68,20237,40988,23695,138640
3,0,7,1,106754,31499,13265,68,20215,41009,23232,138253
3,0,8,0,140969,31479,15644,111,20230,44430,51587,172448
3,0,8,1,140907,31474,14575,111,20250,44641,52652,172381
3,0,9,0,134376,31460,14152,95,20458,42143,48730,165836
