car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
0,0,1,0,118073,31452,12587,68,20456,31899,44384,149525
0,0,1,1,117616,31493,12565,68,20220,31738,44380,149109
0,0,2,0,120221,31445,15561,118,20688,31784,43370,151666
0,0,2,1,119364,31432,15544,118,20223,31580,43255,150796
0,0,3,0,97234,31461,14038,95,20215,30885,23176,128695
0,0,3,1,97315,31466,14087,95,20223,30862,23125,128781
0,0,4,0,122105,31492,12496,46,20209,34605,45925,153597
0,0,4,1,123222,31494,13525,46,20213,34600,46004,154716
0,0,5,0,154758,31455,26145,312,20283,32240,45694,186213
0,0,5,1,130715,31457,25024,312,20222,31989,44587,162172
0,0,6,0,121695,31430,15624,138,20231,31919,44999,153125
0,0,6,1,121565,31470,15619,138,20222,31921,45047,153035
0,0,7,0,101441,31485,13028,68,20720,34866,23906,132926
0,0,7,1,100827,31444,13032,68,20233,34711,23803,132271
0,0,8,0,133160,31491,14381,111,20202,37616,52101,164651
0,0,8,1,133079,31443,14379,111,20221,37607,52078,164522
0,0,9,0,128343,31455,14024,95,20253,35833,49412,159798
0,0,9,1,128071,31475,14000,95,20227,35585,49349,159546
0,0,10,0,132506,31454,13088,42,20210,38374,51830,163960
0,0,10,1,130578,31470,12002,42,20223,37829,51664,162048
0,0,11,0,115696,31450,23881,370,20233,38323,24341,147146
0,0,11,1,140017,31489,24932,370,20248,38565,25430,171506
0,0,12,0,126699,31470,16911,194,20222,33676,47018,158169
0,0,12,1,126898,31925,16867,194,20243,33670,47200,158823
0,1,1,0,136098,31475,19298,196,20220,37270,50274,167573
0,1,1,1,135619,31475,19158,196,20226,37137,50091,167094
0,1,2,0,113880,31470,18797,123,20725,27790,37480,145350
0,1,2,1,112971,31461,18757,123,20233,27568,37470,144432
0,1,3,0,102008,31447,13477,61,20231,35372,23930,133455
0,1,3,1,102103,31461,13466,61,20243,35356,23950,133564
0,1,4,0,134153,31477,12418,62,20228,38797,53314,165630
0,1,4,1,133790,31946,12404,62,20225,38823,53356,165736
0,1,5,0,157768,31490,19346,244,20229,37409,50303,189258
0,1,5,1,137490,31446,19313,244,20199,37410,51406,168936
0,1,6,0,113216,31446,18915,123,20236,27589,37489,144662
0,1,6,1,114264,31708,19960,123,20233,27544,37554,145972
0,1,7,0,102554,31426,13839,61,20224,35372,23987,133980
0,1,7,1,103279,31461,14339,61,20229,35374,23949,134740
0,1,8,0,133753,31473,12373,62,20219,38816,53338,165226
0,1,8,1,133686,31495,12356,62,20237,38827,53372,165181
0,1,9,0,135347,31461,18276,196,20206,37462,50532,166808
0,1,9,1,135106,31447,18281,196,20207,37356,50258,166553
0,1,10,0,113921,31470,18876,123,20750,27789,37505,145391
0,1,10,1,114354,31474,18837,123,20236,28716,37696,145828
0,1,11,0,103113,31433,14348,93,20236,35435,23914,134546
0,1,11,1,124272,31455,14348,93,20233,35423,23896,155727
0,1,12,0,143391,31504,15472,110,20244,41968,56513,174895
0,1,12,1,143500,31444,15554,110,20224,41970,56754,174944
0,2,1,0,135662,31460,16520,83,20229,37393,52815,167122
0,2,1,1,131751,31438,12068,83,20238,38004,52828,163189
0,2,2,0,149689,31443,26081,330,20253,38914,55707,181132
0,2,2,1,147033,31505,23553,330,20229,38915,55776,178538
0,2,3,0,107369,31427,18750,129,20227,35547,24136,138796
0,2,3,1,102979,31424,14927,129,20201,34971,24095,134403
0,2,4,0,142646,31470,14051,139,20226,40914,58727,174116
0,2,4,1,139770,31474,11205,139,20223,40939,58756,171244
0,2,5,0,147981,31464,14594,64,20217,34822,48119,179445
0,2,5,1,125047,31436,12100,64,20199,35640,48248,156483
0,2,6,0,136443,31471,30710,541,20240,31643,45181,167914
0,2,6,1,133898,31460,28877,541,20235,31120,45121,165358
0,2,7,0,103393,31454,20441,217,20228,30757,23171,134847
0,2,7,1,101702,31450,18592,217,20225,30714,23205,133152
0,2,8,0,120730,31481,13721,89,20193,32651,45510,152211
0,2,8,1,117282,31488,10650,89,20199,32645,45307,148770
0,2,9,0,111424,31469,15678,108,20195,28170,38864,142893
0,2,9,1,108313,31447,12529,108,20210,28124,38751,139760
0,2,10,0,121190,31469,16110,108,20209,31743,44461,152659
0,2,10,1,120037,31502,13631,108,20218,32831,44750,151539
0,2,11,0,122610,31424,34571,540,20462,34314,24403,154034
0,2,11,1,142075,31475,33452,540,20248,34132,23950,173550
0,2,12,0,130102,31496,17316,127,20225,35124,48745,161598
0,2,12,1,126365,31475,13647,127,20225,35146,48788,157840
1,0,1,0,123904,31447,12550,68,20213,32175,50186,155351
1,0,1,1,124653,31477,12540,68,20699,32460,50122,156130
1,0,2,0,125311,31455,15542,118,20214,32003,48681,156766
1,0,2,1,126469,31442,15515,118,20200,32039,49830,157911
1,0,3,0,119917,31929,14079,95,20207,31303,24185,151846
1,0,3,1,100381,31456,15062,95,20215,31430,24519,131837
1,0,4,0,128493,31469,12490,46,20210,35064,51811,159962
1,0,4,1,128416,31498,12480,46,20214,35091,51904,159914
1,0,5,0,138485,31480,26132,312,20238,32377,50854,169965
1,0,5,1,136939,31494,25028,312,20238,32406,50404,168433
1,0,6,0,128143,32004,15614,138,20223,32312,51102,160147
1,0,6,1,128172,31463,15654,138,20255,32346,51025,159635
1,0,7,0,102245,31455,13066,68,20221,35183,24912,133700
1,0,7,1,102302,31448,13048,68,20231,35158,24890,133750
1,0,8,0,142230,31689,14342,111,20227,39228,59446,173919
