car,raster_pct,display_pct,n,draw_us,present_us,p95_us,max_us
0,77,100,12,124627,18449,162814,162814
0,65,85,12,99336,18502,123522,123522
0,82,93,12,128651,18436,156777,156777
0,100,100,12,158172,18422,193790,193790
1,77,100,12,124919,18501,160761,160761
1,65,85,12,97791,18500,121817,121817
1,82,93,12,128778,18432,154058,154058
1,100,100,12,155904,18460,186429,186429
2,77,100,12,128780,18449,168973,168973
2,65,85,12,101620,18477,139285,139285
2,82,93,12,132153,18428,165373,165373
2,100,100,12,163549,18434,203052,203052
3,77,100,12,149548,18505,185864,185864
3,65,85,12,118565,18475,141734,141734
3,82,93,12,157414,18462,190660,190660
3,100,100,12,192358,18478,224321,224321
4,77,100,12,127492,18444,155157,155157
4,65,85,12,103231,18479,139134,139134
4,82,93,12,133739,18440,161540,161540
4,100,100,12,163781,18404,194684,194684
5,77,100,12,137926,18473,165754,165754
5,65,85,12,108830,18488,145984,145984
5,82,93,12,145666,18482,183449,183449
5,100,100,12,178582,18412,213488,213488
6,77,100,12,143601,18447,171258,171258
6,65,85,12,116407,18542,148720,148720
6,82,93,12,150513,18480,184567,184567
6,100,100,12,183617,18430,213617,213617
7,77,100,12,129254,18456,156418,156418
7,65,85,12,103504,18505,129093,129093
7,82,93,12,136440,18461,173266,173266
7,100,100,12,164504,18420,206805,206805
