car,pct,frames,before_us,after_us,before_p95,after_p95,before_max,after_max,transfer_us,partial_us,mismatches
0,77,24,132612,122589,150300,136151,152191,138832,31137,18295,0
0,100,24,172950,162228,193224,179186,197471,184858,31141,18298,0
1,77,24,131820,121847,146468,132422,149623,141238,31112,18294,0
1,100,24,171903,161045,192011,177210,195960,181821,31116,18311,0
2,77,24,135405,125304,158449,140883,158814,150245,31121,18297,0
2,100,24,178157,167665,205290,193605,213129,196851,31115,18304,0
3,77,24,157776,147900,174285,161256,175280,163286,31112,18317,0
3,100,24,208715,197678,226125,212919,229450,214620,31120,18304,0
4,77,24,136293,126399,153713,139134,158080,145645,31159,18311,0
4,100,24,178654,168452,199832,187338,204238,191576,31113,18302,0
5,77,24,145519,135407,165006,147570,167530,156336,31133,18345,0
5,100,24,194724,183812,219481,207973,221834,217342,31160,18298,0
6,77,24,152377,142934,165640,156968,169615,157623,31126,18311,0
6,100,24,196592,187481,215968,204554,220176,209378,31139,18303,0
7,77,24,138694,128566,158759,147075,161272,147712,31113,18309,0
7,100,24,180512,169382,201272,188833,204099,191500,31168,18300,0
