car,pct,before_us,after_us,transfer_us,partial_us,mismatches,before_total_us,after_total_us,total_reduction_pct
0,80,135077,130881,31121,18301,0,166198,149182,10.238
0,100,166415,162385,31121,18326,0,197536,180711,8.517
1,80,134836,130592,31125,18345,0,165961,148937,10.258
1,100,166054,161999,31187,18309,0,197241,180308,8.585
2,80,135484,130940,31122,18352,0,166606,149292,10.392
2,100,167355,163061,31123,18326,0,198478,181387,8.611
3,80,165318,160986,31133,18359,0,196451,179345,8.708
3,100,206762,202642,31119,18310,0,237881,220952,7.117
4,80,138541,134068,31161,18309,0,169702,152377,10.209
4,100,171102,166764,31118,18371,0,202220,185135,8.449
5,80,147248,142717,31121,18327,0,178369,161044,9.713
5,100,184819,180560,31150,18316,0,215969,198876,7.915
6,80,157725,152426,31134,18326,0,188859,170752,9.588
6,100,193971,188517,31168,18301,0,225139,206818,8.138
7,80,140144,135528,31159,18359,0,171303,153887,10.167
7,100,171564,166937,31202,18314,0,202766,185251,8.638
