garage_high mean_ms=1.651 median_ms=1.664 p95_ms=1.743
garage_low mean_ms=1.511 median_ms=1.518 p95_ms=1.531
inspection_0_scale_100 mean_ms=1.534 median_ms=1.529 p95_ms=1.663
inspection_0_scale_85 mean_ms=1.231 median_ms=1.225 p95_ms=1.342
inspection_0_scale_80 mean_ms=1.148 median_ms=1.144 p95_ms=1.247
inspection_0_scale_75 mean_ms=1.068 median_ms=1.068 p95_ms=1.173
inspection_0_scale_50 mean_ms=0.747 median_ms=0.742 p95_ms=0.799
inspection_1_scale_100 mean_ms=1.505 median_ms=1.478 p95_ms=1.635
inspection_1_scale_85 mean_ms=1.207 median_ms=1.208 p95_ms=1.306
inspection_1_scale_80 mean_ms=1.140 median_ms=1.128 p95_ms=1.253
inspection_1_scale_75 mean_ms=1.071 median_ms=1.060 p95_ms=1.156
inspection_1_scale_50 mean_ms=0.742 median_ms=0.731 p95_ms=0.800
inspection_2_scale_100 mean_ms=1.528 median_ms=1.518 p95_ms=1.642
inspection_2_scale_85 mean_ms=1.220 median_ms=1.199 p95_ms=1.324
inspection_2_scale_80 mean_ms=1.103 median_ms=1.131 p95_ms=1.186
inspection_2_scale_75 mean_ms=1.073 median_ms=1.069 p95_ms=1.155
inspection_2_scale_50 mean_ms=0.732 median_ms=0.721 p95_ms=0.777
inspection_3_scale_100 mean_ms=1.902 median_ms=1.901 p95_ms=2.141
inspection_3_scale_85 mean_ms=1.530 median_ms=1.575 p95_ms=1.756
inspection_3_scale_80 mean_ms=1.409 median_ms=1.442 p95_ms=1.591
inspection_3_scale_75 mean_ms=1.327 median_ms=1.323 p95_ms=1.531
inspection_3_scale_50 mean_ms=0.859 median_ms=0.849 p95_ms=0.957
inspection_4_scale_100 mean_ms=1.527 median_ms=1.528 p95_ms=1.663
inspection_4_scale_85 mean_ms=1.246 median_ms=1.250 p95_ms=1.344
inspection_4_scale_80 mean_ms=1.169 median_ms=1.163 p95_ms=1.267
inspection_4_scale_75 mean_ms=1.077 median_ms=1.075 p95_ms=1.144
inspection_4_scale_50 mean_ms=0.754 median_ms=0.760 p95_ms=0.789
inspection_5_scale_100 mean_ms=1.537 median_ms=1.501 p95_ms=1.692
inspection_5_scale_85 mean_ms=1.262 median_ms=1.259 p95_ms=1.423
inspection_5_scale_80 mean_ms=1.713 median_ms=1.149 p95_ms=2.746
inspection_5_scale_75 mean_ms=1.076 median_ms=1.064 p95_ms=1.185
inspection_5_scale_50 mean_ms=0.733 median_ms=0.725 p95_ms=0.821
inspection_6_scale_100 mean_ms=2.140 median_ms=2.017 p95_ms=2.923
inspection_6_scale_85 mean_ms=2.090 median_ms=1.915 p95_ms=3.305
inspection_6_scale_80 mean_ms=1.407 median_ms=1.360 p95_ms=1.716
inspection_6_scale_75 mean_ms=1.294 median_ms=1.292 p95_ms=1.443
inspection_6_scale_50 mean_ms=0.910 median_ms=0.892 p95_ms=1.006
inspection_7_scale_100 mean_ms=1.625 median_ms=1.599 p95_ms=1.833
inspection_7_scale_85 mean_ms=1.310 median_ms=1.350 p95_ms=1.448
inspection_7_scale_80 mean_ms=1.233 median_ms=1.174 p95_ms=1.368
inspection_7_scale_75 mean_ms=1.135 median_ms=1.118 p95_ms=1.286
inspection_7_scale_50 mean_ms=0.832 median_ms=0.816 p95_ms=0.906
race_high mean_ms=1.153 median_ms=1.092 p95_ms=1.588
race_low mean_ms=0.953 median_ms=0.957 p95_ms=1.076
race_close_high mean_ms=1.219 median_ms=1.111 p95_ms=1.661
race_close_low mean_ms=1.117 median_ms=1.049 p95_ms=1.461
race_nearclip_low mean_ms=0.860 median_ms=0.765 p95_ms=1.228
track_0_solid mean_ms=0.178 median_ms=0.153 p95_ms=0.305
track_0_wire mean_ms=0.115 median_ms=0.088 p95_ms=0.268
track_1_solid mean_ms=0.172 median_ms=0.177 p95_ms=0.226
track_1_wire mean_ms=0.086 median_ms=0.080 p95_ms=0.143
