garage_high mean_ms=1.731 median_ms=1.659 p95_ms=2.061
garage_low mean_ms=1.547 median_ms=1.524 p95_ms=1.699
inspection_0_scale_100 mean_ms=1.509 median_ms=1.512 p95_ms=1.650
inspection_0_scale_85 mean_ms=1.214 median_ms=1.209 p95_ms=1.329
inspection_0_scale_80 mean_ms=1.138 median_ms=1.137 p95_ms=1.247
inspection_0_scale_75 mean_ms=1.063 median_ms=1.065 p95_ms=1.168
inspection_0_scale_50 mean_ms=0.760 median_ms=0.758 p95_ms=0.883
inspection_1_scale_100 mean_ms=1.572 median_ms=1.588 p95_ms=1.737
inspection_1_scale_85 mean_ms=1.293 median_ms=1.291 p95_ms=1.412
inspection_1_scale_80 mean_ms=1.220 median_ms=1.220 p95_ms=1.311
inspection_1_scale_75 mean_ms=1.114 median_ms=1.083 p95_ms=1.257
inspection_1_scale_50 mean_ms=0.732 median_ms=0.721 p95_ms=0.820
inspection_2_scale_100 mean_ms=1.506 median_ms=1.504 p95_ms=1.607
inspection_2_scale_85 mean_ms=1.213 median_ms=1.200 p95_ms=1.312
inspection_2_scale_80 mean_ms=1.128 median_ms=1.135 p95_ms=1.222
inspection_2_scale_75 mean_ms=1.052 median_ms=1.047 p95_ms=1.144
inspection_2_scale_50 mean_ms=0.712 median_ms=0.712 p95_ms=0.753
inspection_3_scale_100 mean_ms=2.000 median_ms=2.000 p95_ms=2.304
inspection_3_scale_85 mean_ms=1.559 median_ms=1.609 p95_ms=1.848
inspection_3_scale_80 mean_ms=1.508 median_ms=1.585 p95_ms=1.704
inspection_3_scale_75 mean_ms=1.366 median_ms=1.373 p95_ms=1.598
inspection_3_scale_50 mean_ms=0.931 median_ms=0.932 p95_ms=1.050
inspection_4_scale_100 mean_ms=1.627 median_ms=1.619 p95_ms=1.752
inspection_4_scale_85 mean_ms=1.306 median_ms=1.270 p95_ms=1.455
inspection_4_scale_80 mean_ms=1.235 median_ms=1.218 p95_ms=1.354
inspection_4_scale_75 mean_ms=1.127 median_ms=1.118 p95_ms=1.203
inspection_4_scale_50 mean_ms=0.815 median_ms=0.802 p95_ms=0.869
inspection_5_scale_100 mean_ms=1.571 median_ms=1.542 p95_ms=1.730
inspection_5_scale_85 mean_ms=1.787 median_ms=1.304 p95_ms=1.835
inspection_5_scale_80 mean_ms=1.186 median_ms=1.196 p95_ms=1.321
inspection_5_scale_75 mean_ms=1.109 median_ms=1.095 p95_ms=1.250
inspection_5_scale_50 mean_ms=0.763 median_ms=0.776 p95_ms=0.822
inspection_6_scale_100 mean_ms=1.942 median_ms=1.999 p95_ms=2.111
inspection_6_scale_85 mean_ms=1.555 median_ms=1.580 p95_ms=1.749
inspection_6_scale_80 mean_ms=1.431 median_ms=1.451 p95_ms=1.553
inspection_6_scale_75 mean_ms=1.369 median_ms=1.374 p95_ms=1.509
inspection_6_scale_50 mean_ms=0.889 median_ms=0.906 p95_ms=0.963
inspection_7_scale_100 mean_ms=1.692 median_ms=1.684 p95_ms=1.920
inspection_7_scale_85 mean_ms=1.353 median_ms=1.346 p95_ms=1.546
inspection_7_scale_80 mean_ms=1.294 median_ms=1.282 p95_ms=1.458
inspection_7_scale_75 mean_ms=1.205 median_ms=1.204 p95_ms=1.363
inspection_7_scale_50 mean_ms=0.820 median_ms=0.824 p95_ms=0.899
race_high mean_ms=0.994 median_ms=1.010 p95_ms=1.134
race_low mean_ms=0.898 median_ms=0.908 p95_ms=0.976
race_close_high mean_ms=1.162 median_ms=1.080 p95_ms=1.656
race_close_low mean_ms=1.102 median_ms=1.021 p95_ms=1.478
race_nearclip_low mean_ms=0.846 median_ms=0.742 p95_ms=1.151
track_0_solid mean_ms=0.175 median_ms=0.155 p95_ms=0.269
track_0_wire mean_ms=0.114 median_ms=0.083 p95_ms=0.291
track_1_solid mean_ms=0.168 median_ms=0.172 p95_ms=0.220
track_1_wire mean_ms=0.082 median_ms=0.077 p95_ms=0.138
