car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
0,0,1,0,115758,31471,22566,45211,11011,32556,46337,24,2688,2688,336,147229
0,0,1,1,113722,31432,22593,45214,8901,31951,44861,24,2688,764,336,145154
0,0,2,0,116076,31437,22575,45171,12428,33280,47005,41,4592,4592,336,147513
0,0,2,1,113206,31445,22582,45196,9243,32165,44970,41,4592,879,336,144651
0,0,3,0,94929,31479,16494,27440,9951,35611,24366,38,4256,4256,224,126408
0,0,3,1,94425,31466,16574,27443,9310,35206,24193,38,4256,1273,224,125891
0,0,4,0,116739,31465,22988,42903,12055,33059,45014,35,3920,3920,336,148204
0,0,4,1,114138,31703,23004,42930,9505,31785,43771,35,3920,1106,336,145841
0,0,5,0,116904,31466,23061,43304,11062,33518,45143,27,3024,3024,336,148370
0,0,5,1,112980,31987,22975,43249,8370,31387,43333,27,3024,837,336,144967
0,0,6,0,142770,31443,22919,43196,10602,32337,44501,26,2912,2912,336,174213
0,0,6,1,111793,31457,22970,43177,8278,31273,43276,26,2912,804,336,143250
0,0,7,0,93205,31438,16753,26984,6584,32465,24131,33,3696,3696,224,124643
0,0,7,1,91746,31452,16817,26966,5239,31527,23753,33,3696,687,224,123198
0,0,8,0,120169,31469,23179,43544,17610,36317,48153,47,5264,5264,336,151638
0,0,8,1,117249,31448,22931,43037,15554,35068,46575,47,5264,1607,336,148697
0,0,9,0,130054,31453,22890,44011,12256,33213,46061,31,3472,3472,336,161507
0,0,9,1,128170,31467,22909,44020,10235,32571,44712,31,3472,1110,336,159637
0,0,10,0,128562,31496,23233,45224,11816,33842,46561,25,2800,2800,336,160058
0,0,10,1,126226,31488,22976,45745,9288,32895,45247,25,2800,780,336,157714
0,0,11,0,130737,31479,16790,27576,6348,33166,23778,18,2016,2016,224,162216
0,0,11,1,102635,31458,16954,27655,5291,32541,24778,18,2016,543,224,134093
0,0,12,0,118794,31457,22961,45503,11376,32875,47089,23,2576,2576,336,150251
0,0,12,1,116499,32097,23017,45496,9199,32256,45581,23,2576,751,336,148596
0,0,13,0,118822,31460,22982,46289,12144,33644,47897,23,2576,2576,336,150282
0,0,13,1,117435,31988,23080,46274,10553,33332,46704,23,2576,867,336,149423
0,0,14,0,121497,31451,23034,47660,14405,35765,49459,27,3024,3024,336,152948
0,0,14,1,119556,31462,22974,47663,12708,35044,48421,27,3024,1068,336,151018
0,0,15,0,97952,31467,16809,30432,9259,38245,24510,22,2464,2464,224,129419
0,0,15,1,96777,31436,16885,30454,8141,37347,24415,22,2464,958,224,128213
0,0,16,0,129698,31448,23140,53279,15554,38595,53508,25,2800,2800,336,161146
0,0,16,1,129340,31463,23148,52826,14592,38125,53670,25,2800,1237,336,160803
0,0,17,0,126364,31464,22992,50768,14551,37061,51372,25,2800,2800,336,157828
0,0,17,1,153654,31447,23014,50772,12945,36276,50595,25,2800,1081,336,185101
0,0,18,0,125321,31474,23005,50168,14535,36708,51124,26,2912,2912,336,156795
0,0,18,1,123564,31456,23078,50608,12584,36086,50315,26,2912,1037,336,155020
0,0,19,0,98377,31448,16797,30091,8568,37151,24619,21,2352,2352,224,129825
0,0,19,1,97640,31435,16879,30085,7685,36500,24479,21,2352,809,224,129075
0,0,20,0,128258,31488,23003,52602,17293,39239,53785,27,3024,3024,336,159746
0,0,20,1,125722,31438,23035,52760,14570,38065,52422,27,3024,1280,336,157160
0,0,21,0,149333,31455,22952,51022,26274,44231,57354,97,10864,10864,336,180788
0,0,21,1,139619,31454,23203,51304,17105,38230,53515,97,10864,1634,336,171073
0,0,22,0,149587,31471,22940,47754,31772,43646,58948,115,12880,12880,336,181058
0,0,22,1,167108,31467,22973,47753,20411,38446,52819,115,12880,3087,336,198575
0,0,23,0,107465,31443,17397,28026,11368,38266,24853,53,5936,5936,224,138908
0,0,23,1,102790,31453,16756,28019,6485,33557,23928,53,5936,1555,224,134243
0,0,24,0,133826,31452,22916,45605,25008,38361,55291,83,9296,9296,336,165278
0,0,24,1,121186,31476,22938,45587,12467,33927,47186,83,9296,1207,336,152662
0,1,1,0,143893,31464,22741,54245,26874,39920,65176,36,4032,4032,336,175357
0,1,1,1,135743,31455,23276,54262,19288,38506,58440,36,4032,1695,336,167198
0,1,2,0,136421,31453,22832,49669,22316,42334,52597,75,8400,8400,336,167874
0,1,2,1,158055,31460,22790,49653,15423,37450,50537,75,8400,2351,336,189515
0,1,3,0,100322,31449,17025,26396,6897,32760,23893,29,3248,3248,224,131771
0,1,3,1,99297,31467,16886,26348,6233,32031,23751,29,3248,803,224,130764
0,1,4,0,109064,31484,23050,36139,7546,28317,38540,23,2576,2576,336,140548
0,1,4,1,107876,31453,23114,36145,6417,27861,37937,23,2576,803,336,139329
0,1,5,0,115186,31702,23175,42595,11946,33024,44818,20,2240,2240,336,146888
0,1,5,1,114841,31485,23204,42615,11370,32541,44770,20,2240,1018,336,146326
0,1,6,0,122324,31934,23099,49551,12643,35606,49836,18,2016,2016,336,154258
0,1,6,1,122041,31458,23122,49560,12384,35665,49525,18,2016,1091,336,153499
0,1,7,0,98783,31426,16844,31717,7546,37949,24532,12,1344,1344,224,130209
0,1,7,1,100341,31485,17095,31787,7615,38290,25721,12,1344,761,224,131826
0,1,8,0,157948,31445,23084,55965,14310,39044,54444,16,1792,1792,336,189393
0,1,8,1,129250,31483,23115,55965,13861,39086,53979,16,1792,1066,336,160733
0,1,9,0,144385,31485,23122,54260,26842,39019,65333,36,4032,4032,336,175870
0,1,9,1,138206,31457,23803,54272,19349,38280,59272,36,4032,1695,336,169663
0,1,10,0,138121,31453,23111,49687,22405,42519,52809,75,8400,8400,336,169574
0,1,10,1,131019,31467,23026,49719,15512,37643,50735,75,8400,2353,336,162486
0,1,11,0,100733,31449,16819,26322,6917,32541,23864,29,3248,3248,224,132182
0,1,11,1,99627,31470,16950,26318,6252,32102,23687,29,3248,803,224,131097
0,1,12,0,110480,31417,23104,36153,7526,28314,39723,23,2576,2576,336,141897
0,1,12,1,107969,31487,23036,36146,6482,27857,37930,23,2576,804,336,139456
0,1,13,0,143960,31422,23131,42728,11973,33031,44929,20,2240,2240,336,175382
0,1,13,1,114713,31460,23114,42542,11362,32574,44568,20,2240,1018,336,146173
0,1,14,0,122732,31466,23190,50117,12736,36235,49939,18,2016,2016,336,154198
0,1,14,1,121721,31468,23086,49620,12447,35713,49569,18,2016,1091,336,153189
0,1,15,0,98451,31428,16870,31729,7552,38006,24490,12,1344,1344,224,129879
0,1,15,1,98568,31460,16947,31747,7542,38079,24544,12,1344,761,224,130028
0,1,16,0,129417,31668,23213,55932,14373,39084,54561,16,1792,1792,336,161085
0,1,16,1,128818,31497,23178,55907,13876,39114,53974,16,1792,1066,336,160315
0,1,17,0,144588,31481,23253,54305,26784,40143,65481,36,4032,4032,336,176069
0,1,17,1,135933,31493,23216,54216,19285,38161,58687,36,4032,1695,336,167426
0,1,18,0,136904,31485,23107,49660,22356,42469,52777,75,8400,8400,336,168389
0,1,18,1,129848,31696,23126,49678,15366,37541,50753,75,8400,2351,336,161544
0,1,19,0,99860,31412,16927,26342,6899,32589,23831,29,3248,3248,224,131272
0,1,19,1,127682,31979,16872,26309,6266,32047,23711,29,3248,820,224,159661
0,1,20,0,109140,31481,23140,36108,7502,28293,38583,23,2576,2576,336,140621
0,1,20,1,107905,31477,23056,36148,6454,27876,37903,23,2576,804,336,139382
0,1,21,0,115475,31470,23180,42778,11919,33091,44919,20,2240,2240,336,146945
0,1,21,1,114783,31452,23162,42489,11383,32535,44622,20,2240,1020,336,146235
0,1,22,0,124645,31459,23354,50112,12666,36355,49913,18,2016,2016,336,156104
0,1,22,1,122936,31466,23159,49557,12387,35681,49543,18,2016,1091,336,154402
0,1,23,0,100087,31441,16901,31671,7633,38002,24637,12,1344,1344,224,131528
0,1,23,1,101647,31472,17074,31806,7655,38327,25721,12,1344,761,224,133119
0,1,24,0,150471,31484,23137,56110,33144,46784,65734,75,8400,8400,336,181955
0,1,24,1,165786,31513,23124,56377,19749,42169,57238,75,8400,2034,336,197299
1,0,1,0,122777,31483,24441,49798,11550,33052,52850,24,2688,2688,336,154260
1,0,1,1,120146,31442,24287,49607,9263,32300,50960,24,2688,756,336,151588
1,0,2,0,123305,31453,24514,49418,12991,33971,53088,41,4592,4592,336,154758
1,0,2,1,119015,31461,24326,49374,9592,32542,50862,41,4592,879,336,150476
