car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
0,0,1,0,116861,31460,22206,45161,12461,32852,47064,24,2688,2688,336,148321
0,0,1,1,114871,31448,22217,45216,10422,32302,45645,24,2688,764,336,146319
0,0,2,0,117174,31447,22263,45115,13828,33616,47673,41,4592,4592,336,148621
0,0,2,1,114325,31459,22470,45141,10596,32527,45776,41,4592,879,336,145784
0,0,3,0,95332,31461,16298,27404,10602,35775,24559,38,4256,4256,224,126793
0,0,3,1,94814,31435,16296,27413,9969,35355,24324,38,4256,1273,224,126249
0,0,4,0,117904,31484,22667,42879,13478,33398,45716,35,3920,3920,336,149388
0,0,4,1,115356,31693,22701,42890,11018,32168,44534,35,3920,1106,336,147049
0,0,5,0,134103,31468,22832,43295,12548,33059,46796,27,3024,3024,336,165571
0,0,5,1,114189,32013,22646,43263,9865,31733,44136,27,3024,837,336,146202
0,0,6,0,116254,31485,22619,43118,12036,32648,45221,26,2912,2912,336,147739
0,0,6,1,112870,31463,22608,43158,9712,31578,44000,26,2912,804,336,144333
0,0,7,0,93803,31430,16846,26939,7484,32845,24574,33,3696,3696,224,125233
0,0,7,1,92230,31465,16603,26934,6099,31834,23922,33,3696,687,224,123695
0,0,8,0,120758,31435,22853,43606,17862,36352,48081,47,5264,5264,336,152193
0,0,8,1,117779,31463,22672,42996,16418,35129,47056,47,5264,1607,336,149242
0,0,9,0,131614,31462,22665,43952,14110,33716,47110,31,3472,3472,336,163076
0,0,9,1,129726,31474,22606,44029,12043,33019,45752,31,3472,1110,336,161200
0,0,10,0,129982,31507,22978,45191,13454,34266,47458,25,2800,2800,336,161489
0,0,10,1,127635,31460,22758,45685,10990,33359,46178,25,2800,780,336,159095
0,0,11,0,103864,31459,16540,27582,7295,33559,24012,18,2016,2016,224,135323
0,0,11,1,119320,31444,16706,27666,6278,32949,24983,18,2016,543,224,150764
0,0,12,0,119987,31466,22607,45525,12804,33244,47786,23,2576,2576,336,151453
0,0,12,1,117737,32085,22725,45468,10677,32593,46372,23,2576,751,336,149822
0,0,13,0,119953,31485,22684,46211,13484,33883,48592,23,2576,2576,336,151438
0,0,13,1,118519,31998,22707,46233,11941,33607,47371,23,2576,867,336,150517
0,0,14,0,122381,31483,22649,47646,15664,35980,50077,27,3024,3024,336,153864
0,0,14,1,120580,31422,22693,47655,13913,35288,49071,27,3024,1068,336,152002
0,0,15,0,98556,31471,16628,30424,10109,38559,24806,22,2464,2464,224,130027
0,0,15,1,97274,31437,16583,30417,9022,37648,24497,22,2464,958,224,128711
0,0,16,0,130860,31466,22821,52833,17399,38982,54176,25,2800,2800,336,162326
0,0,16,1,146362,31435,22885,52811,16034,38533,54401,25,2800,1237,336,177797
0,0,17,0,127534,31440,22646,50786,15944,37411,52058,25,2800,2800,336,158974
0,0,17,1,127079,31499,22681,50755,14392,36616,51310,25,2800,1081,336,158578
0,0,18,0,126532,31460,22794,50424,15968,37275,52010,26,2912,2912,336,157992
0,0,18,1,124846,31460,22860,50232,13971,36523,50650,26,2912,1037,336,156306
0,0,19,0,98909,31423,16560,30058,9447,37493,24766,21,2352,2352,224,130332
0,0,19,1,98119,31445,16606,30124,8485,36842,24576,21,2352,809,224,129564
0,0,20,0,129346,31478,22611,52603,18666,39546,54428,27,3024,3024,336,160824
0,0,20,1,126759,31458,22689,52810,15935,38386,53143,27,3024,1280,336,158217
0,0,21,0,150740,31478,22795,50953,27909,44601,58344,97,10864,10864,336,182218
0,0,21,1,140813,31458,23098,50975,18532,38262,54438,97,10864,1634,336,172271
0,0,22,0,167158,31465,22660,47725,33436,44050,59863,115,12880,12880,336,198623
0,0,22,1,140621,31505,22643,47730,22120,38855,53732,115,12880,3087,336,172126
0,0,23,0,108141,31436,16479,28507,12437,38543,25157,53,5936,5936,224,139577
0,0,23,1,103597,31433,16584,28018,7530,33987,24322,53,5936,1555,224,135030
0,0,24,0,135184,31458,22612,45598,26605,38789,56117,83,9296,9296,336,166642
0,0,24,1,122535,31435,22651,45592,14074,34334,48080,83,9296,1207,336,153970
0,1,1,0,145060,31428,22509,54284,28167,40329,65882,36,4032,4032,336,176488
0,1,1,1,136776,31471,22549,54687,20674,38911,59107,36,4032,1695,336,168247
0,1,2,0,153557,31456,22522,49651,23793,42732,53331,75,8400,8400,336,185013
0,1,2,1,131577,31498,22544,49688,16799,37815,51315,75,8400,2351,336,163075
0,1,3,0,100742,31441,17078,26357,7823,33421,24160,29,3248,3248,224,132183
0,1,3,1,99861,31447,16667,26303,7143,32370,23952,29,3248,803,224,131308
0,1,4,0,110115,31459,22724,36151,8873,28661,39192,23,2576,2576,336,141574
0,1,4,1,108869,31447,22776,36150,7728,28164,38589,23,2576,803,336,140316
0,1,5,0,116076,31712,22792,42643,13138,33281,45393,20,2240,2240,336,147788
0,1,5,1,115756,31463,22760,42662,12557,32796,45276,20,2240,1018,336,147219
0,1,6,0,123394,31910,22854,49484,13948,35922,50462,18,2016,2016,336,155304
0,1,6,1,123077,31482,22853,49505,13711,35995,50171,18,2016,1091,336,154559
0,1,7,0,115098,31453,16636,31743,8386,38317,24782,12,1344,1344,224,146551
0,1,7,1,100964,31423,16792,31803,8485,38682,25897,12,1344,761,224,132387
0,1,8,0,131660,31499,22853,55940,15740,39426,55206,16,1792,1792,336,163159
0,1,8,1,130468,31461,23154,55930,15360,39562,54997,16,1792,1066,336,161929
0,1,9,0,145453,31481,22823,54253,28212,39380,66017,36,4032,4032,336,176934
0,1,9,1,139437,31448,22937,54763,20739,38710,59831,36,4032,1695,336,170885
0,1,10,0,139376,31447,22790,49664,23947,42940,53553,75,8400,8400,336,170823
0,1,10,1,132318,31450,22764,49703,17047,38058,51549,75,8400,2353,336,163768
0,1,11,0,101383,31473,16714,26274,7846,32969,24106,29,3248,3248,224,132856
0,1,11,1,100273,31431,16656,26299,7154,32426,23856,29,3248,803,224,131704
0,1,12,0,110284,31463,22804,36175,8791,28640,39225,23,2576,2576,336,141747
0,1,12,1,110433,31458,22879,36279,7769,28466,39726,23,2576,804,336,141891
0,1,13,0,117294,31505,23011,42543,13150,33295,45510,20,2240,2240,336,148799
0,1,13,1,131552,31432,22812,42549,12588,32810,45243,20,2240,1018,336,162984
0,1,14,0,123733,31452,22852,50070,13996,35973,51049,18,2016,2016,336,155185
0,1,14,1,122846,31461,22879,49586,13754,36028,50293,18,2016,1091,336,154307
0,1,15,0,98905,31436,16680,31702,8391,38303,24786,12,1344,1344,224,130341
0,1,15,1,99104,31438,16672,31716,8454,38402,24681,12,1344,761,224,130542
0,1,16,0,130560,31456,22789,55974,15762,39434,55189,16,1792,1792,336,162016
0,1,16,1,129949,31448,22830,55970,15304,39494,54707,16,1792,1066,336,161397
0,1,17,0,144292,31469,22841,54234,28115,39348,65945,36,4032,4032,336,175761
0,1,17,1,136963,31473,22797,54239,20629,38479,59321,36,4032,1695,336,168436
0,1,18,0,139600,31451,22967,49757,23786,43125,54608,75,8400,8400,336,171051
0,1,18,1,147218,31467,22841,49690,16859,37950,51541,75,8400,2351,336,178685
0,1,19,0,100320,31443,16664,26312,7767,32898,24028,29,3248,3248,224,131763
0,1,19,1,100727,31931,16651,26338,7125,32391,23905,29,3248,820,224,132658
0,1,20,0,110180,31482,22756,36143,8862,28663,39196,23,2576,2576,336,141662
0,1,20,1,108921,31474,22788,36135,7726,28148,38599,23,2576,804,336,140395
0,1,21,0,116425,31455,22897,42561,13126,33456,45228,20,2240,2240,336,147880
0,1,21,1,115698,31453,22848,42542,12523,32796,45212,20,2240,1020,336,147151
0,1,22,0,125439,31458,23477,49960,13961,36916,50585,18,2016,2016,336,156897
0,1,22,1,124070,31474,22880,49585,13753,36020,50298,18,2016,1091,336,155544
0,1,23,0,102047,31446,16794,31798,8507,38663,25922,12,1344,1344,224,133493
0,1,23,1,100775,31461,16683,31752,8468,38432,24770,12,1344,761,224,132236
0,1,24,0,167680,31459,22819,56156,34617,47167,66530,75,8400,8400,336,199139
0,1,24,1,139463,31473,22790,56446,21182,42554,57969,75,8400,2034,336,170936
1,0,1,0,123912,31462,24065,49576,12965,33448,53272,24,2688,2688,336,155374
1,0,1,1,121295,31464,23976,49560,10681,32641,51674,24,2688,756,336,152759
1,0,2,0,124413,31422,24542,49434,14495,34728,53837,41,4592,4592,336,155835
1,0,2,1,119977,31473,23920,49327,10980,32802,51514,41,4592,879,336,151450
1,0,3,0,98063,31450,15893,27066,10633,37408,25606,38,4256,4256,224,129513
1,0,3,1,96190,31450,15959,27054,9994,35791,25302,38,4256,1270,224,127640
1,0,4,0,124212,31456,24341,46564,14132,33882,51256,35,3920,3920,336,155668
1,0,4,1,137093,31870,24405,46514,11511,32569,49955,35,3920,1109,336,168963
1,0,5,0,123016,31452,24346,47188,13055,33180,51501,27,3024,3024,336,154468
1,0,5,1,121256,31496,24333,47206,10200,32113,49723,27,3024,833,336,152752
1,0,6,0,121321,31492,24364,47092,12504,33030,51025,26,2912,2912,336,152813
1,0,6,1,118854,31452,24385,47141,10004,31927,49699,26,2912,796,336,150306
1,0,7,0,95636,31468,16336,27154,7525,33454,25798,33,3696,3696,224,127104
1,0,7,1,93611,31416,16166,26618,6105,32203,24905,33,3696,687,224,125027
1,0,8,0,125796,31439,24321,46821,18798,36014,54019,47,5264,5264,336,157235
1,0,8,1,124066,31438,24303,46881,17150,35531,52900,47,5264,1613,336,155504
1,0,9,0,138819,31452,24448,47827,15409,35012,52767,33,3696,3696,336,170271
1,0,9,1,137176,31467,24484,47881,12610,33763,52421,33,3696,1105,336,168643
1,0,10,0,153051,31426,24473,49880,14082,34608,53934,25,2800,2800,336,184477
1,0,10,1,134293,31520,24333,49352,11328,33108,51999,25,2800,780,336,165813
1,0,11,0,104116,31426,16168,27241,7295,33950,24971,18,2016,2016,224,135542
1,0,11,1,103117,31456,16195,27231,6201,33046,24794,18,2016,537,224,134573
1,0,12,0,126877,31454,24648,49912,13331,33927,54065,23,2576,2576,336,158331
1,0,12,1,124674,31436,24783,49971,11055,32947,52961,23,2576,745,336,156110
1,0,13,0,126651,31454,24368,50778,14102,34324,55018,23,2576,2576,336,158105
1,0,13,1,125148,31450,24401,50766,12346,33994,53631,23,2576,861,336,156598
1,0,14,0,130880,31478,24514,52430,16325,37607,56965,27,3024,3024,336,162358
1,0,14,1,127831,31466,24619,52426,14460,35702,55901,27,3024,1068,336,159297
1,0,15,0,115591,31465,16212,30071,10243,38979,25836,22,2464,2464,224,147056
1,0,15,1,99077,31601,16191,30082,9116,38066,25532,22,2464,958,224,130678
1,0,16,0,138751,31490,24410,58173,17369,39118,60928,25,2800,2800,336,170241
1,0,16,1,136713,31490,24386,58158,16477,38650,60466,25,2800,1224,336,168203
1,0,17,0,134769,31997,24360,55803,16591,37769,59078,25,2800,2800,336,166766
1,0,17,1,133585,31490,24373,56009,15072,37048,58501,25,2800,1081,336,165075
1,0,18,0,133323,31457,24338,55085,16535,37439,58611,26,2912,2912,336,164780
1,0,18,1,131166,31462,24340,55092,14421,36526,57424,26,2912,1027,336,162628
1,0,19,0,101782,31441,16366,29823,9585,38290,26804,21,2352,2352,224,133223
1,0,19,1,99458,31443,16228,29726,8628,37262,25564,21,2352,809,224,130901
1,0,20,0,137100,31459,24366,57930,19326,39972,61746,27,3024,3024,336,168559
1,0,20,1,134194,31441,24413,57979,16352,38813,60030,27,3024,1280,336,165635
1,0,21,0,157254,31440,24315,56216,28686,43963,65346,97,10864,10864,336,188694
1,0,21,1,167488,31444,24343,56202,18836,38735,60751,97,10864,1634,336,198932
1,0,22,0,159177,31469,24361,52739,34829,44830,67207,115,12880,12880,336,190646
1,0,22,1,147937,31443,24541,52902,23247,39949,61018,115,12880,3079,336,179380
1,0,23,0,108858,31443,16108,27597,12499,38413,26038,53,5936,5936,224,140301
1,0,23,1,104104,31431,16199,27585,7576,34348,25209,53,5936,1542,224,135535
1,0,24,0,142665,31476,24354,50039,27969,39223,63239,83,9296,9296,336,174141
1,0,24,1,130985,31482,24627,50075,14917,35230,55599,83,9296,1201,336,162467
1,1,1,0,152462,31443,24087,59582,29755,39611,73918,36,4032,4032,336,183905
