car,track,variant,raster_pct,n,draw_us,present_us,p95_us,max_us,player_us,opponents_us,road_us
0,0,0,100,12,122580,31506,173474,173474,36614,44266,17011
0,0,1,90,12,123503,31510,169482,169482,38895,44191,16448
0,0,2,85,12,122899,31552,168912,168912,38187,44267,16441
0,0,3,100,12,120280,31569,177281,177281,35901,43999,16469
0,0,4,90,12,121708,31474,169415,169415,38462,44069,15895
0,0,5,85,12,122140,31475,167991,167991,37777,44117,16425
0,1,0,100,12,122399,31472,184558,184558,37539,44158,16740
0,1,1,90,12,125034,31528,185338,185338,39878,44319,16751
0,1,2,85,12,123924,31559,188473,188473,38871,44293,16749
0,1,3,100,12,120667,31492,184335,184335,37046,44072,16197
0,1,4,90,12,124452,31524,184637,184637,39387,44126,16745
0,1,5,85,12,124656,31527,186467,186467,38398,44156,17327
1,0,0,100,12,126599,31469,174833,174833,37014,49275,16427
1,0,1,90,12,129216,31476,177342,177342,39470,49453,16431
1,0,2,85,12,128541,31458,185265,185265,38779,49436,16439
1,0,3,100,12,126296,31505,174203,174203,36670,49238,16436
1,0,4,90,12,130247,31471,192726,192726,39087,49370,17052
1,0,5,85,12,126874,31524,177198,177198,38349,49251,15893
1,1,0,100,12,127449,31480,200004,200004,38003,49420,16739
1,1,1,90,12,133408,31483,207551,207551,40626,49572,17328
1,1,2,85,12,128699,31592,193712,193712,39519,49553,16177
1,1,3,100,12,129491,31471,193850,193850,37480,49270,17314
1,1,4,90,12,129209,31486,193827,193827,39944,49203,16775
1,1,5,85,12,130337,31480,192663,192663,39020,49199,16734
2,0,0,100,12,125179,31562,171361,171361,36437,48605,17003
2,0,1,90,12,128529,31521,173905,173905,38620,48745,15873
2,0,2,85,12,127568,31506,174622,174622,37871,48830,17616
2,0,3,100,12,125379,31468,177999,177999,35678,48521,15850
2,0,4,90,12,126338,31466,172766,172766,37983,48765,16430
2,0,5,85,12,125710,31472,172081,172081,37136,48552,15851
2,1,0,100,12,127013,31571,194498,194498,37222,48618,16825
2,1,1,90,12,127688,31514,189495,189495,39469,48726,16165
