car,track,frame,mode,draw,present,track_us,prepare,raster,blit,player,opponents,upscale,hud,crc,total
0,0,1,0,121883,31473,13835,22962,47757,8370,33039,46179,20193,3226,1749195405,153356
0,0,1,1,114598,31426,13850,22941,40387,8388,30115,41739,20214,3277,1749195405,146024
0,0,2,0,124990,31466,12470,22938,49392,11070,35795,47734,20200,3278,1773045862,156456
0,0,2,1,116741,31461,12507,22885,41186,11048,32348,42905,20190,3292,1773045862,148202
0,0,3,0,99459,31437,11185,16773,29094,7205,34162,25144,20176,3383,1841761430,130896
0,0,3,1,95371,31464,11222,16805,24892,7176,31130,23939,20178,3395,1841761430,126835
0,0,4,0,123889,31439,15565,23317,46760,9077,33405,45881,20197,3315,149519075,155328
0,0,4,1,116567,31433,15532,23444,39231,9306,30467,41675,20194,3289,149519075,148000
0,0,5,0,154686,31478,21329,23408,47733,10202,35287,47297,20229,7546,4084997255,186164
0,0,5,1,117257,31468,14302,23461,40155,10219,32185,41785,20177,3256,4084997255,148725
0,0,6,0,119174,31475,14083,23333,45158,7479,32010,44093,20193,3280,456129351,150649
0,0,6,1,111928,31467,14041,23387,37965,7490,29181,39794,20214,3269,456129351,143395
0,0,7,0,99690,31407,13143,17051,29016,5004,32776,24634,20206,3505,379590024,131097
0,0,7,1,95665,31704,13142,17067,24973,4942,29765,23596,20209,3419,379590024,127369
0,0,8,0,128745,31466,12518,23281,48298,15055,38721,48047,20192,3319,1620436820,160211
0,0,8,1,120043,31482,12443,23326,40225,15042,35349,43379,20171,3281,1620436820,151525
0,0,9,0,134458,31472,26925,23324,47018,8128,32937,45669,20205,3289,2235788088,165930
0,0,9,1,126708,31484,26964,23276,39148,8148,29833,40874,20191,3320,2235788088,158192
0,0,10,0,133778,31454,25067,23357,47553,8617,33248,46414,20215,3305,1279954378,165232
0,0,10,1,127401,31415,25082,23272,40066,8614,30154,43031,20192,3423,1279954378,158816
0,0,11,0,110728,31453,21857,17026,30463,5869,35318,24444,20193,3427,2354601914,142181
0,0,11,1,135000,31466,28844,17015,26147,5881,32053,23375,20194,7593,2354601914,166466
0,0,12,0,128365,31470,17318,23388,48530,9946,34700,47302,20193,3300,1641324227,159835
0,0,12,1,121112,31467,18006,23334,40693,9962,31554,42555,20205,3301,1641324227,152579
0,0,13,0,125208,31483,14208,23403,48678,9856,34224,47856,20208,3299,2158543850,156691
0,0,13,1,118222,31463,14242,23398,41065,9833,31186,43245,20206,3321,2158543850,149685
0,0,14,0,123886,31498,12650,23361,48362,10391,35326,46924,20195,3273,1710952629,155384
0,0,14,1,115723,31457,12618,23370,40302,10353,32167,42013,20196,3312,1710952629,147180
0,0,15,0,105697,31448,11700,17101,34401,6994,40101,24836,20178,3403,39776378,137145
0,0,15,1,100351,31427,11730,17125,28696,6953,35589,23576,20415,3492,39776378,131778
0,0,16,0,135212,31437,14355,23534,53123,13807,38416,53278,20230,3364,184100309,166649
0,0,16,1,153492,31428,21439,23366,44126,13765,34563,46819,20201,7573,184100309,184920
0,0,17,0,129442,31419,14792,23387,50660,11502,37190,48494,20197,3350,3499966158,160861
0,0,17,1,120439,31484,14840,23369,41888,11220,33501,43108,20201,3284,3499966158,151923
0,0,18,0,132631,31482,13452,23378,54610,12040,38559,51604,20193,3291,11938449,164113
0,0,18,1,122726,31511,13414,23304,44961,11971,34234,46135,20189,3311,11938449,154237
0,0,19,0,104838,31417,13291,17101,31634,7311,37276,25124,20204,3493,1070625149,136255
0,0,19,1,100294,31468,13312,17076,27052,7290,33808,23933,20209,3467,1070625149,131762
0,0,20,0,126338,31700,11182,23311,50680,11999,37608,48515,20179,3313,1387997277,158038
0,0,20,1,117268,31468,11144,23377,41620,12063,34040,43158,20171,3284,1387997277,148736
0,0,21,0,143578,31460,23521,23323,53525,14183,39674,51489,20172,3297,1810270215,175038
0,0,21,1,136060,31442,23542,23413,44519,14216,36894,46542,20195,3298,1810270215,167502
