car,frame,mode,percent,draw,present,total,phase
0,1,0,100,110130,31547,141677,drag
0,1,1,100,107106,23269,130375,drag
0,1,2,65,82972,23288,106260,drag
0,2,0,100,92922,31569,124491,drag
0,2,1,100,90369,23313,113682,drag
0,2,2,65,74408,23290,97698,drag
0,3,0,100,107735,31596,139331,drag
0,3,1,100,105456,23271,128727,drag
0,3,2,65,81905,23281,105186,drag
0,4,0,100,99116,31572,130688,drag
0,4,1,100,96763,23280,120043,drag
0,4,2,65,81197,23294,104491,drag
0,5,0,100,113852,31557,145409,drag
0,5,1,100,111680,23287,134967,drag
0,5,2,65,85288,23310,108598,drag
0,6,0,100,114885,31551,146436,transition
0,6,1,100,111395,23300,134695,transition
0,6,2,85,103328,23283,126611,transition
0,7,0,100,104719,31564,136283,transition
0,7,1,100,102196,23277,125473,transition
0,7,2,85,96372,23293,119665,transition
0,8,0,100,106440,31593,138033,transition
0,8,1,100,107620,23349,130969,transition
0,8,2,85,98219,23335,121554,transition
0,9,0,100,142715,31584,174299,transition
0,9,1,100,140026,23310,163336,transition
0,9,2,85,126203,23278,149481,transition
0,10,0,100,161568,31563,193131,native
0,10,1,100,159837,23311,183148,native
0,10,2,100,159140,23302,182442,native
0,11,0,100,161627,32051,193678,transition
0,11,1,100,159206,23283,182489,transition
0,11,2,85,140138,23331,163469,transition
0,12,0,100,132952,31583,164535,transition
0,12,1,100,127032,23292,150324,transition
0,12,2,85,115204,23313,138517,transition
0,13,0,100,111431,31562,142993,transition
0,13,1,100,109307,23272,132579,transition
0,13,2,85,101845,23288,125133,transition
0,14,0,100,111361,31554,142915,transition
0,14,1,100,108837,23323,132160,transition
0,14,2,85,101828,23278,125106,transition
0,15,0,100,119534,31570,151104,native
0,15,1,100,117483,23314,140797,native
0,15,2,100,116682,23299,139981,native
0,16,0,100,119088,31594,150682,native
0,16,1,100,120511,23383,143894,native
0,16,2,100,116685,23286,139971,native
0,17,0,100,119776,31565,151341,native
0,17,1,100,116652,23264,139916,native
0,17,2,100,116819,23271,140090,native
0,18,0,100,119299,31565,150864,native
0,18,1,100,116592,23314,139906,native
0,18,2,100,116901,23292,140193,native
0,19,0,100,119083,31553,150636,native
0,19,1,100,116759,23797,140556,native
0,19,2,100,116755,23342,140097,native
1,1,0,100,110835,31558,142393,drag
1,1,1,100,108449,23263,131712,drag
1,1,2,65,83757,23258,107015,drag
1,2,0,100,94857,31770,126627,drag
1,2,1,100,92495,23258,115753,drag
1,2,2,65,75540,23339,98879,drag
1,3,0,100,109723,31519,141242,drag
1,3,1,100,106499,23308,129807,drag
1,3,2,65,82817,23307,106124,drag
1,4,0,100,100529,31543,132072,drag
1,4,1,100,97903,23339,121242,drag
1,4,2,65,81872,23344,105216,drag
1,5,0,100,115156,31536,146692,drag
1,5,1,100,112530,23290,135820,drag
1,5,2,65,85924,23816,109740,drag
1,6,0,100,115111,31580,146691,transition
1,6,1,100,112507,23301,135808,transition
1,6,2,85,104644,23279,127923,transition
1,7,0,100,105502,31575,137077,transition
1,7,1,100,103252,23800,127052,transition
1,7,2,85,97385,23290,120675,transition
1,8,0,100,108535,31547,140082,transition
1,8,1,100,109827,23569,133396,transition
1,8,2,85,99430,23321,122751,transition
1,9,0,100,144697,32105,176802,transition
1,9,1,100,142235,23292,165527,transition
1,9,2,85,126826,23302,150128,transition
1,10,0,100,164278,31565,195843,native
1,10,1,100,161401,23316,184717,native
1,10,2,100,161504,23313,184817,native
1,11,0,100,163623,31562,195185,transition
1,11,1,100,161213,23278,184491,transition
1,11,2,85,141725,23287,165012,transition
1,12,0,100,133953,31592,165545,transition
1,12,1,100,128426,23319,151745,transition
1,12,2,85,115924,23283,139207,transition
1,13,0,100,110645,31560,142205,transition
1,13,1,100,108370,23309,131679,transition
1,13,2,85,100930,23285,124215,transition
1,14,0,100,109795,31924,141719,transition
1,14,1,100,106867,23298,130165,transition
1,14,2,85,100550,23301,123851,transition
1,15,0,100,116071,31544,147615,native
1,15,1,100,113474,23286,136760,native
1,15,2,100,113480,23284,136764,native
1,16,0,100,115935,31541,147476,native
1,16,1,100,117637,23308,140945,native
1,16,2,100,114069,23323,137392,native
1,17,0,100,115899,31552,147451,native
1,17,1,100,113463,23297,136760,native
1,17,2,100,113580,23321,136901,native
1,18,0,100,116343,31558,147901,native
1,18,1,100,114060,23259,137319,native
1,18,2,100,113493,23280,136773,native
1,19,0,100,115833,31557,147390,native
1,19,1,100,113589,23282,136871,native
1,19,2,100,113426,23285,136711,native
2,1,0,100,119597,31558,151155,drag
2,1,1,100,116753,23336,140089,drag
2,1,2,65,86963,23529,110492,drag
2,2,0,100,98466,31585,130051,drag
2,2,1,100,95756,23348,119104,drag
2,2,2,65,76966,23315,100281,drag
2,3,0,100,117069,31616,148685,drag
2,3,1,100,114186,23319,137505,drag
2,3,2,65,85927,23309,109236,drag
2,4,0,100,105130,31583,136713,drag
2,4,1,100,107135,23366,130501,drag
2,4,2,65,80330,23321,103651,drag
2,5,0,100,122692,31551,154243,drag
2,5,1,100,120253,23356,143609,drag
2,5,2,65,89453,23338,112791,drag
2,6,0,100,123352,31553,154905,transition
2,6,1,100,119973,23302,143275,transition
2,6,2,85,110160,23309,133469,transition
2,7,0,100,112850,31580,144430,transition
2,7,1,100,110092,23304,133396,transition
2,7,2,85,102170,23304,125474,transition
2,8,0,100,118525,31593,150118,transition
2,8,1,100,112464,23333,135797,transition
2,8,2,85,104566,23288,127854,transition
2,9,0,100,155723,31612,187335,transition
2,9,1,100,153131,23338,176469,transition
2,9,2,85,134907,23312,158219,transition
2,10,0,100,176818,31591,208409,native
2,10,1,100,174447,23307,197754,native
2,10,2,100,174208,23292,197500,native
2,11,0,100,177419,31584,209003,transition
2,11,1,100,178055,23326,201381,transition
2,11,2,85,151454,23319,174773,transition
2,12,0,100,139383,31580,170963,transition
2,12,1,100,136491,23328,159819,transition
2,12,2,85,122601,23332,145933,transition
2,13,0,100,117510,31613,149123,transition
2,13,1,100,115806,23286,139092,transition
2,13,2,85,106018,23291,129309,transition
2,14,0,100,117721,31807,149528,transition
2,14,1,100,115014,23320,138334,transition
2,14,2,85,106451,23348,129799,transition
2,15,0,100,126221,31604,157825,native
2,15,1,100,122746,23329,146075,native
2,15,2,100,126566,23303,149869,native
2,16,0,100,126011,31632,157643,native
2,16,1,100,122970,23330,146300,native
2,16,2,100,123025,23324,146349,native
2,17,0,100,125461,31596,157057,native
2,17,1,100,122770,23308,146078,native
2,17,2,100,122961,23337,146298,native
2,18,0,100,125663,31578,157241,native
2,18,1,100,122895,23307,146202,native
2,18,2,100,123339,23303,146642,native
2,19,0,100,128792,31626,160418,native
2,19,1,100,122991,23309,146300,native
2,19,2,100,122766,23296,146062,native
3,1,0,100,126437,31573,158010,drag
3,1,1,100,124158,23302,147460,drag
3,1,2,65,93898,23308,117206,drag
3,2,0,100,102685,31544,134229,drag
