car,track,frame,mode,draw,present,upscale,player,opponents,total
0,0,1,0,113432,31499,14309,32171,45588,144931
0,0,1,1,119621,31460,20223,32979,45120,151081
0,0,2,0,114551,31429,14314,31924,43767,145980
0,0,2,1,120325,31477,20239,31922,43843,151802
0,0,3,0,92155,31932,14340,31328,23435,124087
0,0,3,1,98387,31479,20236,31522,23470,129866
0,0,4,0,146277,31480,14312,35242,46674,177757
0,0,4,1,123448,31471,20231,35205,46661,154919
0,0,5,0,126452,31898,14326,32450,45812,158350
0,0,5,1,132144,31505,20245,32627,45340,163649
0,0,6,0,116882,31466,14338,32371,45605,148348
0,0,6,1,122716,31492,20246,32409,45681,154208
0,0,7,0,95719,31984,14331,35170,24137,127703
0,0,7,1,101977,31493,20251,35463,24141,133470
0,0,8,0,157096,31507,14341,38012,52662,188603
0,0,8,1,134154,31465,20239,37993,52607,165619
0,0,9,0,123807,31480,14351,36572,50082,155287
0,0,9,1,130031,31455,20870,36132,50031,161486
0,0,10,0,125750,31470,14371,38172,52233,157220
0,0,10,1,131578,31474,20243,38205,52275,163052
0,0,11,0,110806,31466,14325,38505,24606,142272
0,0,11,1,116263,31427,20237,38523,24562,147690
0,0,12,0,150301,31483,14306,34039,47329,181784
0,0,12,1,127411,31471,20240,34044,47272,158882
0,1,1,0,129802,31459,14342,37479,50651,161261
0,1,1,1,135368,31495,20243,37551,50596,166863
0,1,2,0,109577,31500,14344,29147,38170,141077
0,1,2,1,138446,31467,20249,27979,38043,169913
0,1,3,0,97114,31457,14320,35794,24220,128571
0,1,3,1,102993,31472,20240,35747,24291,134465
0,1,4,0,129248,31492,14318,39205,54052,160740
0,1,4,1,134988,31483,20245,39237,54056,166471
0,1,5,0,131396,31463,14311,37794,50821,162859
0,1,5,1,137285,31716,20233,37694,50842,169001
0,1,6,0,109788,31493,14320,28171,39172,141281
0,1,6,1,138582,31454,20223,28041,38030,170036
0,1,7,0,96685,31419,14295,35796,24212,128104
0,1,7,1,103024,31469,20232,35804,24249,134493
0,1,8,0,129186,31473,14361,39225,54009,160659
0,1,8,1,134979,31451,20237,39251,54019,166430
